Subsegment,Left-Parotid,Left-Parotid-SD,Right-Parotid,Right-Parotid-SD
whole-gland,16301.074435002212,2056.101265220534,16128.735983370083,1630.478321549701
1,10809.393988100468,3952.327814198643,11820.880662963404,3078.9220985177985
2,13002.099976420275,3778.083736052651,13593.487882755475,3472.635419054477
3,12140.010445975584,5098.559372704203,12279.818700059479,3634.320753745728
4,13943.932225621722,3290.13872561237,14884.74106902798,2799.0639546271095
5,16767.82772679963,3487.3432003053317,17103.421708266873,3156.4393082300508
6,16564.6587284025,4047.603997438282,16998.39455815276,3481.27675336445
7,16469.504579384065,3246.183774565405,16550.234835569907,2767.8670899001313
8,18995.20709225454,2843.239176714429,18245.521738766773,2964.2873169109994
9,17250.052380740715,3419.668531361878,16755.70825719277,3374.7396852871148
10,13984.438254634668,4275.257678076284,13209.768704459262,3986.2756518694114
11,16645.130160003846,3743.9714371825344,15898.032231126068,3493.564932718312
12,15153.846749764967,3026.272523970193,15443.917427213893,3390.4521668813645
13,17303.849545892426,4072.6368860655434,16076.531481309918,4517.968109121096
14,20449.187032033064,3701.526727066158,19399.63828611821,3299.145999460761
15,18917.615165729116,3264.945621539294,18955.95239009603,2620.5073222400733
16,18020.270651363408,4031.1345330715885,16905.187253114786,3563.937042471648
17,21214.421827775408,2397.3683373360614,20393.633057577237,3330.894914485282
18,19283.025577473785,3851.840149258525,19224.03026101563,3653.2514930751595
Spearmans Coefficient,-0.564499484004128,-0.5128998968008256
Pearsons Coefficient,-0.5226366564099194,-0.47694803753569054
Spearman Significance,0.007331806526905462,0.014753276861049687
Pearson Significance,0.01303163352918424,0.022678161297141713
