Degree,Features,9-fold Loss
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.1560543584293655
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.15814648845005858
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.1582062563648681
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.15854153654350414
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.1590603320699067
1,"['Max', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.15907027203557642
1,"['Max', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.15907143038081145
1,"['Range', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.15907227571942573
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.15999956776519317
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.16038847455248872
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.16040953493907273
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'Min', 'CoefficientOfVariation']",0.16048042705472093
1,"['Percentile10', 'Max', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.1616125442683275
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.16216329911843988
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness']",0.1626526318056482
1,"['Percentile10', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.1628937360591332
1,"['Percentile10', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.16335143393098642
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'CoefficientOfVariation']",0.16384990497873664
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.16417022079775997
